Order_ID,Product_Category,Product_Price,Order_Quantity,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Seller_Rating,Product_Rating,Previous_Returns,Customer_Type,Product_Review_Count,Order_Value
ORD100001,Clothing,5533.52,3,58,Male,City54,Debit Card,Next-Day,40.0,3.3,4.0,6,Regular,1117,16600.56
ORD100002,Books,1988.16,3,68,Female,City85,Credit Card,Express,10.96,3.1,3.6,8,Frequent,1180,5964.48
ORD100003,Toys,7088.15,5,22,Female,City30,Debit Card,Next-Day,11.86,4.3,3.9,2,Loyal,702,35440.75
ORD100004,Toys,9177.93,3,40,Male,City95,PayPal,Next-Day,29.08,4.9,4.8,0,Frequent,309,27533.79
ORD100005,Books,492.66,4,34,Female,City80,Gift Card,Standard,7.93,4.0,4.1,2,Loyal,1391,1970.64
ORD100006,Electronics,85092.21,1,46,Female,City47,Debit Card,Next-Day,13.31,3.4,3.5,4,New,1894,85092.21
ORD100007,Clothing,2671.48,2,25,Male,City50,Credit Card,Express,38.43,4.3,3.3,8,Regular,2547,5342.96
ORD100008,Electronics,39505.42,3,67,Female,City39,Credit Card,Express,9.41,3.3,3.9,7,Frequent,1458,118516.26
ORD100009,Home,23348.18,5,54,Male,City81,Debit Card,Standard,26.91,3.8,3.6,1,New,1758,116740.9
ORD100010,Clothing,5214.48,3,44,Male,City82,Credit Card,Standard,42.7,3.0,3.7,5,Regular,4104,15643.44
ORD100011,Toys,6531.56,2,70,Female,City41,Credit Card,Next-Day,32.48,4.2,4.8,2,Regular,729,13063.12
ORD100012,Home,25271.63,4,54,Male,City22,Gift Card,Next-Day,11.08,4.3,4.0,1,Frequent,1377,101086.52
ORD100013,Toys,4700.36,3,66,Male,City17,PayPal,Standard,13.67,3.9,4.0,3,Regular,1050,14101.08
ORD100014,Electronics,84713.43,2,51,Male,City85,PayPal,Next-Day,10.61,4.2,4.0,0,Frequent,1456,169426.86
ORD100015,Electronics,101596.74,4,45,Male,City9,PayPal,Next-Day,13.15,4.6,4.7,3,Frequent,1182,406386.96
ORD100016,Electronics,48804.28,2,24,Female,City27,Credit Card,Standard,13.63,4.5,2.6,1,New,2224,97608.56
ORD100017,Clothing,3131.86,1,52,Female,City77,PayPal,Standard,42.76,4.7,5.0,1,Regular,2381,3131.86
ORD100018,Electronics,84712.53,1,33,Male,City33,PayPal,Standard,7.98,3.9,3.5,1,Regular,1144,84712.53
ORD100019,Books,896.49,1,51,Female,City43,PayPal,Standard,12.75,2.9,4.2,2,Regular,823,896.49
ORD100020,Electronics,91413.62,5,50,Female,City64,Debit Card,Express,7.22,3.0,3.8,9,Regular,1071,457068.1
ORD100021,Clothing,1237.97,1,31,Female,City70,Credit Card,Next-Day,40.57,4.6,4.5,0,Regular,1270,1237.97
ORD100022,Books,856.81,2,30,Female,City26,Debit Card,Standard,16.99,4.4,3.0,8,New,774,1713.62
ORD100023,Books,571.56,5,65,Female,City90,Gift Card,Next-Day,16.4,3.9,3.8,1,Loyal,488,2857.8
ORD100024,Electronics,24499.12,2,41,Female,City28,Gift Card,Standard,18.01,4.0,3.7,2,Frequent,1020,48998.24
ORD100025,Toys,8909.9,2,18,Male,City84,Gift Card,Express,17.67,4.8,4.3,2,New,1862,17819.8
ORD100026,Electronics,66594.86,5,58,Female,City83,Gift Card,Standard,18.04,4.6,3.9,1,Frequent,2477,332974.3
ORD100027,Toys,7821.56,5,21,Female,City98,Debit Card,Express,22.26,4.9,4.0,3,Loyal,975,39107.8
ORD100028,Home,16489.01,1,52,Female,City10,PayPal,Express,22.82,4.9,4.3,2,Loyal,252,16489.01
ORD100029,Toys,1670.59,5,53,Male,City69,Credit Card,Standard,28.65,4.3,3.0,2,Regular,615,8352.95
ORD100030,Books,1635.44,5,59,Female,City32,Gift Card,Standard,12.37,4.4,4.2,3,Frequent,537,8177.2
ORD100031,Toys,7859.75,3,49,Male,City55,Credit Card,Standard,15.66,5.0,4.3,0,Frequent,662,23579.25
ORD100032,Electronics,27702.57,5,28,Female,City79,Credit Card,Next-Day,15.35,3.9,4.4,0,New,1997,138512.85
ORD100033,Toys,5218.39,4,68,Female,City47,Debit Card,Express,30.45,4.4,3.9,3,Regular,981,20873.56
ORD100034,Home,28372.64,4,18,Male,City20,Debit Card,Next-Day,29.25,2.8,2.8,4,Loyal,807,113490.56
ORD100035,Toys,5223.3,3,34,Male,City42,PayPal,Next-Day,16.65,4.8,4.2,0,Regular,1495,15669.9
ORD100036,Clothing,3068.73,2,46,Female,City95,PayPal,Standard,36.8,4.1,4.9,1,New,3036,6137.46
ORD100037,Electronics,102336.73,5,54,Female,City43,Credit Card,Express,8.85,3.4,3.7,6,New,1216,511683.65
ORD100038,Clothing,5349.15,1,31,Female,City62,Gift Card,Standard,48.56,3.4,3.2,1,Regular,3648,5349.15
ORD100039,Toys,4078.68,2,28,Female,City11,Credit Card,Next-Day,24.19,4.3,4.0,2,Regular,1072,8157.36
ORD100040,Toys,5761.52,4,44,Female,City60,PayPal,Standard,32.9,3.7,3.6,2,Regular,852,23046.08
ORD100041,Toys,5567.61,1,46,Male,City42,PayPal,Next-Day,31.72,4.4,3.8,3,Frequent,308,5567.61
ORD100042,Books,891.26,4,69,Male,City81,PayPal,Express,19.38,4.1,4.3,8,Frequent,373,3565.04
ORD100043,Books,1863.97,2,33,Female,City61,Gift Card,Standard,10.63,3.9,4.3,3,New,115,3727.94
ORD100044,Clothing,1699.39,3,44,Male,City41,Credit Card,Next-Day,46.24,3.4,2.8,1,Frequent,3182,5098.17
ORD100045,Home,8888.77,3,66,Female,City12,Gift Card,Standard,11.11,4.8,3.8,2,Frequent,347,26666.31
ORD100046,Toys,1263.93,2,69,Male,City89,Gift Card,Next-Day,28.75,3.4,2.7,5,Regular,1814,2527.86
ORD100047,Home,12957.42,2,53,Female,City49,Debit Card,Next-Day,32.97,3.6,2.9,2,Loyal,2104,25914.84
ORD100048,Home,29412.92,2,63,Male,City5,Credit Card,Standard,17.07,3.3,3.4,8,New,209,58825.84
ORD100049,Electronics,52850.42,4,36,Male,City68,Credit Card,Express,11.89,3.2,3.7,6,Frequent,1054,211401.68
ORD100050,Clothing,4562.67,4,52,Male,City53,Credit Card,Express,18.69,4.5,4.1,1,Regular,2491,18250.68
ORD100051,Books,1210.83,1,37,Female,City12,Credit Card,Next-Day,10.32,2.8,3.6,1,Frequent,915,1210.83
ORD100052,Toys,7018.37,3,46,Female,City50,Debit Card,Express,26.91,4.7,4.3,2,Regular,456,21055.11
ORD100053,Toys,362.03,2,53,Female,City46,Credit Card,Express,15.03,4.9,4.0,1,Frequent,59,724.06
ORD100054,Clothing,2368.03,3,55,Female,City23,Debit Card,Standard,47.42,3.1,4.0,2,Regular,650,7104.09
ORD100055,Home,6751.81,2,42,Male,City76,Debit Card,Next-Day,26.68,4.7,3.9,1,Regular,576,13503.62
ORD100056,Home,6062.68,4,34,Male,City31,Gift Card,Express,24.07,3.6,2.9,7,Regular,1667,24250.72
ORD100057,Electronics,64067.97,4,39,Female,City24,Debit Card,Standard,19.32,4.3,4.1,1,New,898,256271.88
ORD100058,Books,997.65,2,47,Male,City16,PayPal,Standard,17.08,3.1,2.9,4,Loyal,698,1995.3
ORD100059,Home,14116.87,5,65,Female,City37,PayPal,Next-Day,25.86,4.5,4.8,1,New,906,70584.35
ORD100060,Electronics,107831.79,2,32,Male,City65,Credit Card,Next-Day,10.3,4.1,4.2,3,Frequent,2563,215663.58
ORD100061,Books,262.53,4,40,Female,City44,Gift Card,Express,9.29,3.6,3.5,7,Frequent,577,1050.12
ORD100062,Home,13557.18,4,28,Female,City80,PayPal,Next-Day,11.99,4.0,3.8,3,New,975,54228.72
ORD100063,Clothing,3881.43,5,53,Female,City3,Gift Card,Express,17.96,4.0,4.0,1,Regular,609,19407.15
ORD100064,Clothing,4931.89,1,50,Female,City81,Debit Card,Standard,29.94,4.7,4.7,3,Regular,668,4931.89
ORD100065,Books,1417.23,3,53,Male,City44,Debit Card,Next-Day,14.07,3.2,3.0,3,New,227,4251.69
ORD100066,Toys,4082.64,2,32,Male,City92,Debit Card,Express,12.19,4.3,2.9,7,Regular,1295,8165.28
ORD100067,Books,156.89,2,60,Female,City75,Debit Card,Next-Day,16.63,3.9,3.8,1,Regular,158,313.78
ORD100068,Toys,2385.83,3,70,Female,City31,Gift Card,Next-Day,22.08,4.2,4.0,7,New,907,7157.49
ORD100069,Electronics,58325.47,3,62,Male,City28,Credit Card,Next-Day,10.0,3.5,2.8,6,Regular,2203,174976.41
ORD100070,Clothing,5624.66,2,65,Female,City3,Debit Card,Next-Day,16.77,4.3,4.3,0,New,2480,11249.32
ORD100071,Toys,7021.57,4,46,Female,City50,Gift Card,Express,35.15,3.9,2.7,9,New,268,28086.28
ORD100072,Toys,6721.06,4,30,Female,City100,PayPal,Next-Day,37.86,4.4,4.2,0,Regular,1065,26884.24
ORD100073,Toys,5681.04,3,39,Male,City97,Debit Card,Next-Day,32.1,4.5,4.3,2,Frequent,753,17043.12
ORD100074,Clothing,5451.79,5,62,Male,City43,Credit Card,Standard,20.06,4.7,4.6,3,New,4271,27258.95
